item,price,quantity,price/unit,created,purchased
Tropical Peppermint Cake,22,1,22,2018-02-05T20:53:55+00:00,2018-02-05T22:11:57+00:00
Linen Scrap,317,1,317,2018-02-05T20:54:54+00:00,2018-02-05T21:09:14+00:00
Pile of Filthy Essence,1944,1,1944,2018-02-05T20:55:02+00:00,2018-02-05T21:06:34+00:00
Large Fang,97,1,97,2018-02-05T20:55:22+00:00,2018-02-05T21:03:30+00:00
Large Claw,94,3,31,2018-02-05T20:54:22+00:00,2018-02-05T21:02:45+00:00
Destroyer Shard,2293,1,2293,2018-02-05T20:55:16+00:00,2018-02-05T20:56:58+00:00
Large Fang,97,2,48,2018-02-05T20:55:22+00:00,2018-02-05T20:56:48+00:00
Corrupted Shard,2841,1,2841,2018-02-05T20:55:12+00:00,2018-02-05T20:55:40+00:00
Elder Wood Log,148,1,148,2018-02-05T20:55:17+00:00,2018-02-05T20:55:35+00:00
Elder Wood Log,148,1,148,2018-02-05T20:55:17+00:00,2018-02-05T20:55:33+00:00
Elder Wood Log,148,1,148,2018-02-05T20:55:17+00:00,2018-02-05T20:55:29+00:00
Tuning Icicle,673,1,673,2018-02-05T20:54:44+00:00,2018-02-05T20:55:10+00:00
Snowflake,18,1,18,2018-02-03T22:36:08+00:00,2018-02-05T20:55:07+00:00
Lump of Raw Ambrite,85,1,85,2018-02-04T19:03:47+00:00,2018-02-05T20:54:58+00:00
Mithril Ore,36,4,9,2018-02-05T19:36:15+00:00,2018-02-05T20:54:49+00:00
Ancient Wood Log,195,1,195,2018-02-05T20:54:18+00:00,2018-02-05T20:54:21+00:00
Mystic Coin,9904,8,1238,2018-02-05T20:53:21+00:00,2018-02-05T20:54:12+00:00
Tiny Snowflake,14,2,7,2018-02-04T23:28:18+00:00,2018-02-05T20:54:03+00:00
Pile of Coarse Sand,8,4,2,2018-01-30T23:05:22+00:00,2018-02-05T20:53:59+00:00
Orichalcum Ingot,254,51,4,2017-11-07T01:24:40+00:00,2018-01-05T07:41:14+00:00
Orichalcum Ingot,254,23,11,2017-11-07T01:24:38+00:00,2018-01-05T07:41:14+00:00
Orichalcum Ingot,254,34,7,2017-11-07T01:24:38+00:00,2018-01-05T07:41:12+00:00
Orichalcum Ingot,254,71,3,2017-11-07T01:24:35+00:00,2018-01-05T07:41:12+00:00
Orichalcum Ingot,254,199,1,2017-11-07T01:24:40+00:00,2018-01-04T21:24:43+00:00
Orichalcum Ingot,254,244,1,2017-11-07T01:24:39+00:00,2018-01-04T19:34:54+00:00
Orichalcum Ingot,254,6,42,2017-11-07T01:24:38+00:00,2018-01-04T19:34:54+00:00
Orichalcum Ingot,254,6,42,2017-11-07T01:24:39+00:00,2018-01-04T19:34:23+00:00
Orichalcum Ingot,254,27,9,2017-11-07T01:24:38+00:00,2018-01-04T19:33:33+00:00
Orichalcum Ingot,254,150,1,2017-11-07T01:43:09+00:00,2018-01-04T18:58:17+00:00
Orichalcum Ingot,254,2,127,2017-11-07T01:24:38+00:00,2018-01-04T18:58:17+00:00
Orichalcum Ingot,254,16,15,2017-11-07T01:24:38+00:00,2018-01-04T18:57:27+00:00
Orichalcum Ingot,254,20,12,2017-11-07T01:43:09+00:00,2018-01-04T18:54:18+00:00
Orichalcum Ingot,254,2,127,2017-11-07T01:43:09+00:00,2018-01-04T18:53:51+00:00
Orichalcum Ingot,254,1,254,2017-11-07T01:43:09+00:00,2018-01-04T18:52:48+00:00
Orichalcum Ingot,254,77,3,2017-11-07T01:43:09+00:00,2018-01-04T18:51:41+00:00
Orichalcum Ingot,254,142,1,2017-11-07T01:43:08+00:00,2018-01-04T18:51:24+00:00
Orichalcum Ingot,254,58,4,2017-11-07T01:24:38+00:00,2018-01-04T18:51:24+00:00
Orichalcum Ingot,254,250,1,2017-11-07T01:43:07+00:00,2018-01-04T18:48:30+00:00
